perturbation level,accuracy,RS,mCE,PDR,MDS
0.0,0.882,,,,
0.1,0.885,1.0034013605442176,0.0,-0.00340136054421769,
0.2,0.874,0.9909297052154195,0.0,0.009070294784580506,
0.3,0.866,0.981859410430839,0.0,0.018140589569161012,0.7272727272727273
0.4,0.725,0.8219954648526077,0.0,0.1780045351473923,14.842105263157883
0.5,0.854,0.9682539682539683,0.0,0.03174603174603177,-2.4187499999999997
0.6,0.852,0.9659863945578231,0.0,0.0340136054421769,0.25806451612903225
0.7,0.837,0.9489795918367346,0.0,0.05102040816326535,2.2727272727272725
0.8,0.827,0.937641723356009,0.0,0.06235827664399098,1.25
0.9,0.831,0.9421768707482993,0.0,0.05782312925170073,-0.48275862068965514
1.0,0.825,0.9353741496598639,0.0,0.06462585034013611,0.8888888888888888
